PDB_ID,Function
7D8A,GENE REGULATION
6ZMU,OXIDOREDUCTASE
6XTZ,SIGNALING PROTEIN
2GF0,TRANSPORT PROTEIN
8STM,ONCOPROTEIN
4CUD,TRANSCRIPTION
6XI4,CELL CYCLE
6HXV,STRUCTURAL PROTEIN
7MY4,PROTEIN BINDING
7O08,TRANSFERASE
5MHQ,CELL CYCLE/INHIBITOR
7JQG,TRANSCRIPTION
6T2T,TRANSFERASE
6XZV,GENE REGULATION
8SKI,TRANSFERASE/DNA
7MQY,CELL ADHESION
7PWT,CHAPERONE
6YRQ,VIRAL PROTEIN
7APJ,SIGNALING PROTEIN
7AYV,LYASE
4EDW,IMMUNE SYSTEM
7VNI,TRANSCRIPTION
8IIZ,NUCLEAR PROTEIN
3QZI,TRANSFERASE/TRANSFERASE INHIBITOR
7ALT,SIGNALING PROTEIN
7Q4I,TRANSFERASE
6GWQ,HYDROLASE
7UAD,SIGNALING PROTEIN/INHIBITOR
7B39,GENE REGULATION
6HI2,TRANSFERASE
4F59,PROTEIN BINDING
1GFI,SIGNAL TRANSDUCTION PROTEIN
6V4E,APOPTOSIS
6UJO,IMMUNE SYSTEM
5JSM,TRANSFERASE/TRANSFERASE INHIBITOR
8HTC,TRANSFERASE
7BJO,TRANSFERASE
8JCA,PROTEIN BINDING
1EFC,RNA BINDING PROTEIN
7XUB,TRANSFERASE
6QQ4,TRANSPORT PROTEIN
4XUL,TRANSFERASE
7F2X,SIGNALING PROTEIN
6VJ8,HYDROLASE/HYDROLASE INHIBITOR
8SO1,OXIDOREDUCTASE/SUBSTRATE
6TA7,RNA BINDING PROTEIN
6LS5,HYDROLASE
4GB9,TRANSFERASE/TRANSFERASE INHIBITOR
8C6B,FLAVOPROTEIN
5UJC,OXIDOREDUCTASE
7SH4,IMMUNE SYSTEM
7D86,GENE REGULATION
7DB0,TRANSFERASE
1M7B,SIGNALING PROTEIN
6HTW,TRANSLATION
6T5V,SIGNALING PROTEIN
6PGW,CELL ADHESION
6XRO,HYDROLASE/HYDROLASE INHIBITOR
8C1U,FLAVOPROTEIN
7OC3,PROTEIN BINDING
6THV,HYDROLASE
6XJN,HYDROLASE
6RVN,CELL CYCLE
7U9D,LIPID BINDING PROTEIN
7DAZ,TRANSFERASE
6IYB,TRANSPORT PROTEIN
6SI1,DNA BINDING PROTEIN
7O2R,HYDROLASE
7MRO,CELL ADHESION
8R79,LIGASE
1ZNY,TRANSFERASE
3RSO,SIGNALING PROTEIN
7VMG,STRUCTURAL PROTEIN/INHIBITOR
7VNH,TRANSCRIPTION
6LPH,PROTEIN BINDING
4P4U,ANTIVIRAL PROTEIN/HYDROLASE
7ULU,HYDROLASE
7CQV,SIGNALING PROTEIN
6VRO,HYDROLASE
7JHD,TRANSCRIPTION
7FCL,IMMUNE SYSTEM
6TFW,TRANSFERASE
8ADD,HYDROLASE
8GYN,LIPID BINDING PROTEIN
6XG7,PROTEIN BINDING
7MRS,CELL ADHESION
2OF3,"STRUCTURAL PROTEIN, CELL CYCLE"
4BJA,TRANSPORT PROTEIN
2NZ8,"SIGNALING PROTEIN,CELL CYCLE"
7PRX,SIGNALING PROTEIN
7ME4,SIGNALING PROTEIN
6PYO,PROTEIN TRANSPORT
8OG5,TRANSFERASE
7ZPC,CELL CYCLE
7YBX,TRANSFERASE/INHIBITOR
6KD6,DNA BINDING PROTEIN
6WYP,HYDROLASE
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR
8E8B,TRANSFERASE/DNA
2WTG,OXYGEN TRANSPORT
8G1Z,HYDROLASE/INHIBITOR
6JIK,SIGNALING PROTEIN
6T2M,TRANSCRIPTION
1GII,TRANSFERASE
7MNU,TRANSPORT PROTEIN
8D6D,"SIGNALING PROTEIN,"
7JL7,CELL CYCLE
7NYQ,RNA BINDING PROTEIN
8SWE,ONCOPROTEIN
7DB1,TRANSFERASE
3N9Q,OXIDOREDUCTASE
7R5F,RNA BINDING PROTEIN
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR
7K2R,PROTEIN BINDING
3N9O,OXIDOREDUCTASE
2FB3,LIGAND BINDING PROTEIN
7JO7,CYTOSOLIC PROTEIN
7G8E,CYTOSOLIC PROTEIN
8G8O,TRANSFERASE/INHIBITOR
6YRB,VIRAL PROTEIN
7CIV,TRANSFERASE
5S4Z,CELL CYCLE
6S7X,NEUROPEPTIDE
6S9F,SIGNALING PROTEIN
6YYK,TRANSFERASE
2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN"
5SZH,ENDOCYTOSIS
6ZQT,PROTEIN BINDING
4YW9,LYASE
7MIC,"VIRAL PROTEIN,HYDROLASE/SUBSTRATE"
6S7Y,NEUROPEPTIDE
7ODN,STRUCTURAL PROTEIN
6YUY,HYDROLASE
7BTG,SIGNALING PROTEIN
6WFW,IMMUNE SYSTEM
8GM5,TRANSLATION/TRANSFERASE
7CFB,GENE REGULATION
8AK3,STRUCTURAL PROTEIN
6ZUW,BLOOD CLOTTING
1O43,SIGNALING PROTEIN
6WGN,SIGNALING PROTEIN/INHIBITOR
7MFW,CELL ADHESION
7OXU,TRANSCRIPTION
4I6H,TRANSFERASE/TRANSFERASE INHIBITOR
8X72,TRANSFERASE
6MJ7,SIGNALING PROTEIN
8EWR,OXIDOREDUCTASE/INHIBITOR
7CIX,TRANSFERASE
6HXY,STRUCTURAL PROTEIN
6TBN,BIOSYNTHETIC PROTEIN
7ZHH,RNA BINDING PROTEIN
6UPR,STRUCTURAL PROTEIN
6ZW1,HYDROLASE
8FDX,LIGASE
3SW7,TRANSFERASE/TRANSFERASE INHIBITOR
7Y8D,APOPTOSIS
6VFQ,CELL ADHESION
3LUI,PROTEIN TRANSPORT
4ANV,TRANSFERASE
4DHE,CELL CYCLE
4MJO,HYDROLASE/HYDROLASE INHIBITOR
2H2D,HYDROLASE
8HAQ,TRANSFERASE
8A8Q,TRANSCRIPTION
7CMR,TRANSFERASE
6LXC,TRANSCRIPTION
7DB4,TRANSFERASE
1O4C,SIGNALING PROTEIN
7ZFG,TRANSCRIPTION
7D87,GENE REGULATION
8PZ9,TRANSCRIPTION
7XQL,TOXIN
6XRP,HYDROLASE/HYDROLASE INHIBITOR
6S8L,STRUCTURAL PROTEIN
8UQB,TRANSFERASE
6K80,TRANSFERASE
8OMK,SUGAR BINDING PROTEIN
2C6I,TRANSFERASE
7R3O,TRANSFERASE
4Q00,METAL TRANSPORT
4GCN,PROTEIN BINDING
7UG1,CELL CYCLE
6PZS,HYDROLASE/HYDROLASE INHIBITOR
4TMX,TRANSLATION
3N9N,OXIDOREDUCTASE
7KVX,IMMUNE SYSTEM
6WMS,TRANSCRIPTION
6RL4,PEPTIDE BINDING PROTEIN
8C6H,FLAVOPROTEIN
7BJI,STRUCTURAL PROTEIN
6C5U,TRANSFERASE/ANTIBIOTIC
5SGM,HYDROLASE/HYDROLASE INHIBITOR
6KQP,TRANSFERASE
8FDY,TRANSFERASE
8BS5,RNA BINDING PROTEIN
6Y20,TRANSCRIPTION
8AK2,STRUCTURAL PROTEIN
7O3S,PEPTIDE BINDING PROTEIN
6TWA,HYDROLASE
7OY4,TRANSCRIPTION
7AXF,NUCLEAR PROTEIN
8CIH,REPLICATION
8G8S,TRANSCRIPTION
7QUT,DNA BINDING PROTEIN
7QG1,TRANSFERASE
7DB3,TRANSFERASE
7CUY,HYDROLASE
8C6C,FLAVOPROTEIN
