Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
7O3S,PEPTIDE BINDING PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,235,0.3651398612974785
7O3S,PEPTIDE BINDING PROTEIN,260,6SIP,PEPTIDE BINDING PROTEIN,235,0.3792264569947726
6SLW,PEPTIDE BINDING PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,245,0.4121277119652692
6SLW,PEPTIDE BINDING PROTEIN,260,6SIP,PEPTIDE BINDING PROTEIN,245,0.4122059001086737
7PWT,CHAPERONE,260,6SIP,PEPTIDE BINDING PROTEIN,237,0.5463327260342532
7PWT,CHAPERONE,250,6RL4,PEPTIDE BINDING PROTEIN,237,0.5557873101867699
6PGW,CELL ADHESION,400,1KJZ,TRANSLATION,427,0.5650797278683989
6PGW,CELL ADHESION,424,4RJL,TRANSLATION,427,0.5809058263742516
6WFW,IMMUNE SYSTEM,535,4EDW,IMMUNE SYSTEM,491,0.5819002694475806
8HAQ,TRANSFERASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,490,0.5943893238335939
6VFQ,CELL ADHESION,424,4RJL,TRANSLATION,425,0.600707883026895
4IRR,TRANSFERASE,643,4YW9,LYASE,589,0.6031430846257767
6PGW,CELL ADHESION,427,4IBY,DNA BINDING PROTEIN,427,0.605275246861575
4IRR,TRANSFERASE,611,4GNL,LYASE,589,0.6122575583969927
6VFQ,CELL ADHESION,400,1KJZ,TRANSLATION,425,0.6158944733014586
1D4X,CONTRACTILE PROTEIN,483,5VBZ,HYDROLASE,492,0.6188574775596369
6UJO,IMMUNE SYSTEM,400,1KJZ,TRANSLATION,384,0.620266735407744
7ULU,HYDROLASE,643,4YW9,LYASE,550,0.6211653817632103
6GWQ,HYDROLASE,535,4EDW,IMMUNE SYSTEM,475,0.6247232935873521
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN,400,1KJZ,TRANSLATION,394,0.6288856371601512
7XHK,HYDROLASE,329,8JCA,PROTEIN BINDING,334,0.6289787637809924
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,329,8JCA,PROTEIN BINDING,329,0.6309925138583367
7ULU,HYDROLASE,611,4GNL,LYASE,550,0.6359661090543457
8AK3,STRUCTURAL PROTEIN,296,5MHQ,CELL CYCLE/INHIBITOR,298,0.6405053140325304
6VFQ,CELL ADHESION,427,4IBY,DNA BINDING PROTEIN,425,0.6419499193806645
6ZW1,HYDROLASE,424,4RJL,TRANSLATION,380,0.6422707739288888
8AK3,STRUCTURAL PROTEIN,303,7ZPC,CELL CYCLE,298,0.6426696203226275
8AK3,STRUCTURAL PROTEIN,292,7UG1,CELL CYCLE,298,0.6429707929951963
8AK3,STRUCTURAL PROTEIN,292,2C6I,TRANSFERASE,298,0.6440147091611895
6PYO,PROTEIN TRANSPORT,308,6RVN,CELL CYCLE,318,0.6440481133186783
8X72,TRANSFERASE,303,7ZPC,CELL CYCLE,294,0.6462138107168655
6WYP,HYDROLASE,424,4RJL,TRANSLATION,358,0.6462640757121277
8PBR,HYDROLASE,424,4RJL,TRANSLATION,370,0.6474054920383528
7NYQ,RNA BINDING PROTEIN,602,7MDP,HYDROLASE/IMMUNE SYSTEM,566,0.651043481455128
1D4X,CONTRACTILE PROTEIN,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,492,0.6511497290892845
6V7A,HYDROLASE,424,4RJL,TRANSLATION,357,0.6515678581298524
8BJK,HYDROLASE,424,4RJL,TRANSLATION,366,0.6521842334836568
8AK2,STRUCTURAL PROTEIN,285,2R3K,TRANSFERASE,294,0.6531082849095741
8BOK,TRANSFERASE,285,2R3K,TRANSFERASE,282,0.6541624401642677
6XJN,HYDROLASE,399,4DHE,CELL CYCLE,417,0.6548479469102026
8AK2,STRUCTURAL PROTEIN,303,7ZPC,CELL CYCLE,294,0.6559218971368213
6THV,HYDROLASE,424,4RJL,TRANSLATION,381,0.6562116317588351
6TWA,HYDROLASE,602,7MDP,HYDROLASE/IMMUNE SYSTEM,522,0.6595716053892149
7BJO,TRANSFERASE,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,257,0.6598157614502194
8X72,TRANSFERASE,285,2R3K,TRANSFERASE,294,0.6599178134925916
7UK2,METAL BINDING PROTEIN/INHIBITOR,424,4RJL,TRANSLATION,362,0.6600472692009476
6ELK,OXIDOREDUCTASE,457,7G8E,CYTOSOLIC PROTEIN,392,0.660097705796058
1D4X,CONTRACTILE PROTEIN,533,6WGN,SIGNALING PROTEIN/INHIBITOR,492,0.6602554141470456
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,292,2C6I,TRANSFERASE,318,0.6642244077097236
6PZS,HYDROLASE/HYDROLASE INHIBITOR,424,4RJL,TRANSLATION,362,0.6643154925417581
7UAD,SIGNALING PROTEIN/INHIBITOR,329,8JCA,PROTEIN BINDING,277,0.664555348999608
8AK2,STRUCTURAL PROTEIN,292,7UG1,CELL CYCLE,294,0.6646016786227916
8IIZ,NUCLEAR PROTEIN,602,7MDP,HYDROLASE/IMMUNE SYSTEM,525,0.6646417838325751
6YUY,HYDROLASE,427,4IBY,DNA BINDING PROTEIN,360,0.6653666182472494
6VNV,TRANSFERASE/INHIBITOR,285,2R3K,TRANSFERASE,274,0.6668066767071433
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN,424,4RJL,TRANSLATION,394,0.667527644705413
8AK2,STRUCTURAL PROTEIN,296,5MHQ,CELL CYCLE/INHIBITOR,294,0.6680734078431005
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,296,5MHQ,CELL CYCLE/INHIBITOR,318,0.6687710006702036
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,298,1YKR,TRANSFERASE,318,0.6695927067721538
6YUY,HYDROLASE,424,4RJL,TRANSLATION,360,0.670360528678123
6S7F,HYDROLASE,602,7MDP,HYDROLASE/IMMUNE SYSTEM,523,0.6707885483473596
8X72,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,294,0.6709708097782437
8D6D,"SIGNALING PROTEIN,",483,5VBZ,HYDROLASE,544,0.6746659070138369
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,303,7ZPC,CELL CYCLE,318,0.6748479623254393
8D6D,"SIGNALING PROTEIN,",530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,544,0.6749165465120992
8DHH,OXIDOREDUCTASE/INHIBITOR,424,4RJL,TRANSLATION,367,0.6750211341235381
6XYS,HYDROLASE,643,4YW9,LYASE,537,0.6752720306306262
7ULU,HYDROLASE,602,7MDP,HYDROLASE/IMMUNE SYSTEM,550,0.6757813333801734
6XI4,CELL CYCLE,424,4RJL,TRANSLATION,408,0.676629966571978
8G1Z,HYDROLASE/INHIBITOR,424,4RJL,TRANSLATION,359,0.6767917524878313
8X72,TRANSFERASE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.6776337681471403
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,292,7UG1,CELL CYCLE,318,0.6787345561797216
8UQB,TRANSFERASE,400,1KJZ,TRANSLATION,408,0.6789073528676306
8BOK,TRANSFERASE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,282,0.6791295236935878
7R5F,RNA BINDING PROTEIN,303,7ZPC,CELL CYCLE,301,0.6791481372282442
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN,427,4IBY,DNA BINDING PROTEIN,394,0.6791948110599643
6XYS,HYDROLASE,611,4GNL,LYASE,537,0.6807238741773011
8X72,TRANSFERASE,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.6809091121424987
8AK3,STRUCTURAL PROTEIN,298,1YKR,TRANSFERASE,298,0.6810460120327466
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.6815363710569918
8X72,TRANSFERASE,282,1KE8,TRANSFERASE,294,0.6823473395428364
6QQ4,TRANSPORT PROTEIN,260,6SIP,PEPTIDE BINDING PROTEIN,243,0.682492039830204
6QQ4,TRANSPORT PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,243,0.6828222127577166
7BJO,TRANSFERASE,250,7VV8,CELL CYCLE,257,0.6828413446061502
6YUY,HYDROLASE,400,1KJZ,TRANSLATION,360,0.683305021402082
3N9N,OXIDOREDUCTASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,501,0.6833170019139095
8BOK,TRANSFERASE,303,7ZPC,CELL CYCLE,282,0.68374541936668
8SWE,ONCOPROTEIN,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,574,0.6837984804424693
7QG1,TRANSFERASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,544,0.6846172146470149
8UQB,TRANSFERASE,424,4RJL,TRANSLATION,408,0.68468802270859
6UJO,IMMUNE SYSTEM,427,4IBY,DNA BINDING PROTEIN,384,0.684848767853798
7BJO,TRANSFERASE,285,2R3K,TRANSFERASE,257,0.6850354825962591
6VNV,TRANSFERASE/INHIBITOR,292,7UG1,CELL CYCLE,274,0.6853214614799035
8D6D,"SIGNALING PROTEIN,",533,6WGN,SIGNALING PROTEIN/INHIBITOR,544,0.6860807771094822
6UJO,IMMUNE SYSTEM,424,4RJL,TRANSLATION,384,0.6861195675849654
7KVX,IMMUNE SYSTEM,172,8QUG,TRANSFERASE,181,0.6878110196170669
6UPR,STRUCTURAL PROTEIN,483,5VBZ,HYDROLASE,543,0.687970335155383
6X5Q,TRANSFERASE,292,7UG1,CELL CYCLE,284,0.6880013700868034
6XI4,CELL CYCLE,400,1KJZ,TRANSLATION,408,0.6884396994906414
7VNH,TRANSCRIPTION,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",225,0.6884594562523174
7YBX,TRANSFERASE/INHIBITOR,285,2R3K,TRANSFERASE,300,0.6886298909036432
7E1T,PROTEIN TRANSPORT,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,403,0.6890172552605306
6UPR,STRUCTURAL PROTEIN,533,6WGN,SIGNALING PROTEIN/INHIBITOR,543,0.6892059347869721
3N9O,OXIDOREDUCTASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,495,0.68952524423581
8AK2,STRUCTURAL PROTEIN,292,2C6I,TRANSFERASE,294,0.6899505541912511
6VNV,TRANSFERASE/INHIBITOR,296,5MHQ,CELL CYCLE/INHIBITOR,274,0.6899624798144725
8AK3,STRUCTURAL PROTEIN,285,2R3K,TRANSFERASE,298,0.690104453278483
6UPR,STRUCTURAL PROTEIN,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,543,0.6905510303781064
7SVB,HYDROLASE/DNA,602,7MDP,HYDROLASE/IMMUNE SYSTEM,555,0.6905981390277744
5SGM,HYDROLASE/HYDROLASE INHIBITOR,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,315,0.6910186815361521
6WSJ,HYDROLASE/HYDROLASE INHIBITOR,424,4RJL,TRANSLATION,358,0.6911432624429522
6VNV,TRANSFERASE/INHIBITOR,303,7ZPC,CELL CYCLE,274,0.6913939586915397
6Y6E,RNA BINDING PROTEIN,198,4LOF,APOPTOSIS,238,0.6914673461647576
8IIZ,NUCLEAR PROTEIN,535,4EDW,IMMUNE SYSTEM,525,0.6918256548053344
8UQB,TRANSFERASE,457,7G8E,CYTOSOLIC PROTEIN,408,0.6923467371715425
7R5F,RNA BINDING PROTEIN,285,2R3K,TRANSFERASE,301,0.6923711251774647
8AK2,STRUCTURAL PROTEIN,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.6924609382163692
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,316,1CIP,HYDROLASE,329,0.6928575155939912
7BJO,TRANSFERASE,282,1KE8,TRANSFERASE,257,0.6928951385688813
8AK2,STRUCTURAL PROTEIN,282,1KE8,TRANSFERASE,294,0.6931450583621526
8D6F,"SIGNALING PROTEIN,",483,5VBZ,HYDROLASE,542,0.6931552740458025
6VNV,TRANSFERASE/INHIBITOR,292,2C6I,TRANSFERASE,274,0.6933320659904288
8DHH,OXIDOREDUCTASE/INHIBITOR,400,1KJZ,TRANSLATION,367,0.6936118836432529
6ELK,OXIDOREDUCTASE,356,5QQM,HYDROLASE/TRANSFERASE,392,0.693616314381977
6PGW,CELL ADHESION,411,6SI1,DNA BINDING PROTEIN,427,0.6942816786660735
7Y9C,TRANSFERASE,611,4GNL,LYASE,562,0.6944586598119389
7Y9C,TRANSFERASE,643,4YW9,LYASE,562,0.694563698251421
7KVX,IMMUNE SYSTEM,162,1P2T,SIGNALING PROTEIN,181,0.6947348393666488
8DKT,CELL CYCLE,483,5VBZ,HYDROLASE,526,0.6953435996097809
6S7F,HYDROLASE,535,4EDW,IMMUNE SYSTEM,523,0.6955155845692582
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,282,1KE8,TRANSFERASE,318,0.695615726862429
7PO9,TRANSCRIPTION,183,1ZNY,TRANSFERASE,172,0.6956801003109412
7JO7,CYTOSOLIC PROTEIN,427,4IBY,DNA BINDING PROTEIN,367,0.6959752965975783
8X72,TRANSFERASE,279,1GII,TRANSFERASE,294,0.6960468493417749
7MIC,"VIRAL PROTEIN,HYDROLASE/SUBSTRATE",250,7VV8,CELL CYCLE,220,0.6966397441286002
6XTZ,SIGNALING PROTEIN,457,7G8E,CYTOSOLIC PROTEIN,425,0.6967362282675029
6S7X,NEUROPEPTIDE,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,332,0.6974001048063636
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,285,2R3K,TRANSFERASE,300,0.6974897740116192
6LTK,CHAPERONE,182,3RZV,HYDROLASE,208,0.6975613796924149
7XHK,HYDROLASE,316,1CIP,HYDROLASE,334,0.697752094563223
5SGM,HYDROLASE/HYDROLASE INHIBITOR,329,8JCA,PROTEIN BINDING,315,0.6980543102930453
7O2R,HYDROLASE,424,4RJL,TRANSLATION,357,0.6980968660195915
8AK3,STRUCTURAL PROTEIN,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.6983394939237617
6VNV,TRANSFERASE/INHIBITOR,282,1KE8,TRANSFERASE,274,0.698656620542346
6TWA,HYDROLASE,535,4EDW,IMMUNE SYSTEM,522,0.6989651827185759
8DKT,CELL CYCLE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,526,0.6990012351894254
1D4X,CONTRACTILE PROTEIN,602,7MDP,HYDROLASE/IMMUNE SYSTEM,492,0.6991084832254152
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,303,7ZPC,CELL CYCLE,300,0.6991909101395593
8D6F,"SIGNALING PROTEIN,",530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,542,0.699594994451081
8AK3,STRUCTURAL PROTEIN,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,298,0.699675175755473
8BOK,TRANSFERASE,292,7UG1,CELL CYCLE,282,0.699692087426176
6ELK,OXIDOREDUCTASE,356,5QQL,HYDROLASE/TRANSFERASE,392,0.6997294855429697
6S7X,NEUROPEPTIDE,316,1CIP,HYDROLASE,332,0.6999987060081616
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,318,0.7002755628049443
8X72,TRANSFERASE,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,294,0.7004838636951632
8X72,TRANSFERASE,292,2C6I,TRANSFERASE,294,0.7007144933352828
7E1T,PROTEIN TRANSPORT,424,4RJL,TRANSLATION,403,0.7008551602382711
7JW6,RNA BINDING PROTEIN,250,7VV8,CELL CYCLE,231,0.7016723249237026
6VNV,TRANSFERASE/INHIBITOR,279,1GII,TRANSFERASE,274,0.7017447098967864
8X72,TRANSFERASE,292,7UG1,CELL CYCLE,294,0.7019781124871035
3K6J,OXIDOREDUCTASE,457,7G8E,CYTOSOLIC PROTEIN,431,0.7028104261559628
