PDB_ID,Function
7D8A,GENE REGULATION
6HXV,STRUCTURAL PROTEIN
7MY4,PROTEIN BINDING
6XZV,GENE REGULATION
7MQY,CELL ADHESION
7APJ,SIGNALING PROTEIN
7B39,GENE REGULATION
6V4E,APOPTOSIS
7D86,GENE REGULATION
6PGW,CELL ADHESION
6THV,HYDROLASE
7O2R,HYDROLASE
7MRO,CELL ADHESION
7FCL,IMMUNE SYSTEM
8ADD,HYDROLASE
8GYN,LIPID BINDING PROTEIN
7MRS,CELL ADHESION
6WYP,HYDROLASE
8G1Z,HYDROLASE/INHIBITOR
6T2M,TRANSCRIPTION
7JL7,CELL CYCLE
7OXU,TRANSCRIPTION
6HXY,STRUCTURAL PROTEIN
6ZW1,HYDROLASE
7ZFG,TRANSCRIPTION
7D87,GENE REGULATION
8PZ9,TRANSCRIPTION
6PZS,HYDROLASE/HYDROLASE INHIBITOR
7BJI,STRUCTURAL PROTEIN
7OY4,TRANSCRIPTION
6V7A,HYDROLASE
7BO6,TRANSCRIPTION
6XZH,GENE REGULATION
6XZJ,GENE REGULATION
7X15,LIPID TRANSPORT
7AB8,SIGNALING PROTEIN
8PZ7,TRANSCRIPTION
8BJK,HYDROLASE
6XZI,GENE REGULATION
7ZFX,TRANSCRIPTION
6WSJ,HYDROLASE/HYDROLASE INHIBITOR
6PKH,HYDROLASE
8CKC,TRANSCRIPTION
8CK5,TRANSCRIPTION
8DIO,RNA BINDING PROTEIN
6V4H,APOPTOSIS
7DOV,CYTOKINE
7UK2,METAL BINDING PROTEIN/INHIBITOR
6Z26,STRUCTURAL PROTEIN
7OXZ,TRANSCRIPTION
6JLH,PROTEIN TRANSPORT
6XZK,GENE REGULATION
