PDB_ID,Function
6XI4,CELL CYCLE
7O08,TRANSFERASE
7JQG,TRANSCRIPTION
8SKI,TRANSFERASE/DNA
7PWT,CHAPERONE
8IIZ,NUCLEAR PROTEIN
6GWQ,HYDROLASE
7UAD,SIGNALING PROTEIN/INHIBITOR
6UJO,IMMUNE SYSTEM
8HTC,TRANSFERASE
7BJO,TRANSFERASE
7XUB,TRANSFERASE
7F2X,SIGNALING PROTEIN
8SO1,OXIDOREDUCTASE/SUBSTRATE
7SH4,IMMUNE SYSTEM
6XJN,HYDROLASE
7U9D,LIPID BINDING PROTEIN
8R79,LIGASE
7ULU,HYDROLASE
6VRO,HYDROLASE
7JHD,TRANSCRIPTION
6TFW,TRANSFERASE
7PRX,SIGNALING PROTEIN
6PYO,PROTEIN TRANSPORT
8OG5,TRANSFERASE
7YBX,TRANSFERASE/INHIBITOR
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR
8E8B,TRANSFERASE/DNA
7MNU,TRANSPORT PROTEIN
8D6D,"SIGNALING PROTEIN,"
8SWE,ONCOPROTEIN
7R5F,RNA BINDING PROTEIN
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR
7K2R,PROTEIN BINDING
7JO7,CYTOSOLIC PROTEIN
8G8O,TRANSFERASE/INHIBITOR
6YYK,TRANSFERASE
7MIC,"VIRAL PROTEIN,HYDROLASE/SUBSTRATE"
6YUY,HYDROLASE
6WFW,IMMUNE SYSTEM
8GM5,TRANSLATION/TRANSFERASE
6ZUW,BLOOD CLOTTING
8X72,TRANSFERASE
8EWR,OXIDOREDUCTASE/INHIBITOR
6UPR,STRUCTURAL PROTEIN
8FDX,LIGASE
7Y8D,APOPTOSIS
6VFQ,CELL ADHESION
8HAQ,TRANSFERASE
7CMR,TRANSFERASE
6LXC,TRANSCRIPTION
8UQB,TRANSFERASE
8OMK,SUGAR BINDING PROTEIN
7R3O,TRANSFERASE
7KVX,IMMUNE SYSTEM
6WMS,TRANSCRIPTION
5SGM,HYDROLASE/HYDROLASE INHIBITOR
6KQP,TRANSFERASE
8FDY,TRANSFERASE
8BS5,RNA BINDING PROTEIN
7O3S,PEPTIDE BINDING PROTEIN
6TWA,HYDROLASE
7AXF,NUCLEAR PROTEIN
8CIH,REPLICATION
8G8S,TRANSCRIPTION
7QG1,TRANSFERASE
8F1X,TRANSFERASE/TRANSFERASE INHIBITOR
6KOJ,PROTEIN TRANSPORT
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR
7SVB,HYDROLASE/DNA
7YFK,TRANSCRIPTION
7DCJ,DNA BINDING PROTEIN/DNA
7XVX,CYTOKINE
7JVO,TRANSPORT PROTEIN
6SLW,PEPTIDE BINDING PROTEIN
8DHH,OXIDOREDUCTASE/INHIBITOR
8OGC,TRANSFERASE
8K71,OXIDOREDUCTASE
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN
6LTK,CHAPERONE
6OS4,METAL BINDING PROTEIN
6VNV,TRANSFERASE/INHIBITOR
6S7F,HYDROLASE
7E1T,PROTEIN TRANSPORT
6XDB,TRANSFERASE/TRANSFERASE INHIBITOR
7YB7,APOPTOSIS
7AZW,TRANSCRIPTION
7XHK,HYDROLASE
8B8Z,TRANSCRIPTION
7Y9C,TRANSFERASE
6ULV,TRANSCRIPTION/INHIBITOR
7TGQ,ANTIVIRAL PROTEIN
7KP1,IMMUNE SYSTEM
6JVR,HYDROLASE
7LZF,TRANSFERASE
6X5Q,TRANSFERASE
8PBR,HYDROLASE
8BOK,TRANSFERASE
7ZC9,SIGNALING PROTEIN
8D6F,"SIGNALING PROTEIN,"
